iter	MAE
0	1.586485922
1	1.527424764
2	1.473252837
3	1.427854052
4	1.384077767
5	1.348961805
6	1.315142656
7	1.283186406
8	1.253871218
9	1.22723341
10	1.206253553
11	1.185311502
12	1.163574963
13	1.146490125
14	1.131671017
15	1.118257542
16	1.106324059
17	1.093744398
18	1.084715648
19	1.07560198
20	1.066831802
21	1.058325183
22	1.051042431
23	1.046016694
24	1.040549157
25	1.03511046
26	1.030460405
27	1.026464472
28	1.022490376
29	1.018218805
30	1.014506332
31	1.011246877
32	1.007923932
33	1.005577295
34	1.003141737
35	1.00064908
36	0.9981820847
37	0.9957213941
38	0.9933752501
39	0.9915748572
40	0.9900076309
41	0.9883495799
42	0.9867120285
43	0.985602683
44	0.9846676856
45	0.9831877949
46	0.982298851
47	0.9815683682
48	0.980650656
49	0.979477313
50	0.9784178863
51	0.9773689905
52	0.9764621084
53	0.9758194319
54	0.9749411601
55	0.9742945664
56	0.9737706265
57	0.9731282787
58	0.9725420931
59	0.9721645599
60	0.9716130127
61	0.971288293
62	0.9708756331
63	0.9703323817
64	0.9698231019
65	0.9694491436
66	0.969128942
67	0.9687826524
68	0.9683665421
69	0.9678203704
70	0.9674120262
71	0.9669193569
72	0.9666594896
73	0.9662961718
74	0.9658990181
75	0.9656801595
76	0.9655550354
77	0.9652902145
78	0.9649108674
79	0.9644982542
80	0.9642719781
81	0.964118232
82	0.9637710241
83	0.9632718996
84	0.9629079167
85	0.9626967729
86	0.962376334
87	0.9620578569
88	0.9615910988
89	0.9614005505
90	0.9612227255
91	0.961021766
92	0.9607937088
93	0.9605599334
94	0.9603455982
95	0.960127084
96	0.9599600683
97	0.9597436091
98	0.9595321865
99	0.959048337
100	0.9588920121
101	0.9585867109
102	0.9583854113
103	0.9582255353
104	0.9578732658
105	0.9575275165
106	0.9573254592
107	0.9571336034
108	0.9568939924
109	0.95660506
110	0.9563629843
111	0.9561572228
112	0.9559140965
113	0.955740357
114	0.9555366781
115	0.9553838067
116	0.9549953177
117	0.9548749913
118	0.9546539766
119	0.9544752302
120	0.9543091425
121	0.954162414
122	0.9539301105
123	0.9538364878
124	0.953716565
125	0.9535516084
126	0.9533419427
127	0.9531282859
128	0.9528356077
129	0.9526490745
130	0.9524638216
131	0.9523758449
132	0.9522499204
133	0.9520860799
134	0.9519701216
135	0.9518372163
136	0.9515288714
137	0.951329072
138	0.9509189354
139	0.9507750147
140	0.9505538673
141	0.9502847179
142	0.95000685
143	0.9498417275
144	0.9495731986
145	0.949297005
146	0.9491162538
147	0.9489588428
148	0.9488022584
149	0.948682831
150	0.9484649742
151	0.9482830756
152	0.9480623173
153	0.9479829584
154	0.9476099678
155	0.9473391043
156	0.9472610458
157	0.9470968077
158	0.9470241444
159	0.9468917628
160	0.9465884145
161	0.9463493879
162	0.9461029046
163	0.9458277546
164	0.9457093535
165	0.9455379147
166	0.9452202448
167	0.9446765947
168	0.9445022726
169	0.944364725
170	0.944082309
171	0.9439221475
172	0.9438105286
173	0.943548461
174	0.943423834
175	0.9432507042
176	0.9431245608
177	0.9429481242
178	0.942856939
179	0.9427616572
180	0.9426226249
181	0.9425587113
182	0.9424391711
183	0.9423425839
184	0.9422514446
185	0.9421219984
186	0.9419355582
187	0.9417788916
188	0.9416492862
189	0.9415266177
190	0.9414023732
191	0.9413459021
192	0.9412397296
193	0.9410875116
194	0.941030285
195	0.9409105857
196	0.9407966218
197	0.9407299274
198	0.9406245522
199	0.9404976791
200	0.9404620411
201	0.9404286964
202	0.9403220028
203	0.9401960712
204	0.9400758806
205	0.9399864145
206	0.939899747
207	0.9398049511
208	0.9396983819
209	0.9395977808
210	0.9395572194
211	0.9395111992
212	0.9394495495
213	0.9392249969
214	0.9391855509
215	0.9390823145
216	0.938969154
