iter	Passed	Remaining
0	504	504340
1	998	498013
2	1483	493038
3	1918	477807
4	2382	474160
5	2871	475743
6	3388	480635
7	3925	486819
8	4420	486698
9	4919	487068
10	5409	486375
11	5909	486530
12	6405	486298
13	6898	485877
14	7385	484977
15	7871	484086
16	8357	483276
17	8877	484341
18	9363	483431
19	9857	483025
20	10349	482503
21	10815	480805
22	11336	481560
23	11810	480287
24	12284	479092
25	12757	477928
26	13253	477603
27	13812	479481
28	14296	478690
29	14798	478475
30	15291	477997
31	15785	477517
32	16270	476781
33	16748	475854
34	17236	475222
35	17697	473904
36	18180	473186
37	18709	473643
38	19194	472975
39	19687	472507
40	20173	471865
41	20659	471241
42	21162	470989
43	21669	470810
44	22187	470871
45	22658	469918
46	23167	469767
47	23704	470134
48	24197	469622
49	24692	469159
50	25175	468459
51	25667	467937
52	26162	467474
53	26630	466527
54	27109	465785
55	27567	464716
56	28071	464403
57	28576	464122
58	29091	463992
59	29592	463608
60	30133	463865
61	30626	463351
62	31150	463307
63	31647	462847
64	32197	463151
65	32698	462735
66	33252	463055
67	33796	463204
68	34291	462688
69	34852	463043
70	35371	462820
71	35846	462015
72	36399	462221
73	36922	462035
74	37408	461372
75	37897	460753
76	38465	461091
77	38995	460942
78	39508	460603
79	40002	460023
80	40518	459707
81	41051	459571
82	41552	459080
83	42094	459032
84	42589	458460
85	43104	458114
86	43607	457623
87	44103	457075
88	44591	456435
89	45143	456447
90	45638	455880
91	46173	455713
92	46713	455581
93	47283	455733
94	47771	455089
95	48303	454857
96	48848	454744
97	49350	454224
98	49851	453697
99	50346	453116
100	50876	452849
101	51402	452543
102	51896	451956
103	52411	451545
104	52942	451271
105	53466	450935
106	53979	450498
107	54506	450186
108	55025	449797
109	55526	449258
110	56028	448731
111	56544	448319
112	57073	448000
113	57561	447363
114	58059	446804
115	58628	446792
116	59161	446491
117	59690	446159
118	60198	445672
119	60677	444969
120	61170	444369
121	61665	443788
122	62199	443486
123	62689	442869
124	63185	442299
125	63696	441834
126	64215	441418
127	64706	440814
128	65254	440591
129	65761	440095
130	66283	439695
131	66812	439345
132	67329	438907
133	67830	438365
134	68352	437964
135	68856	437441
136	69374	437009
137	69885	436530
138	70393	436034
139	70893	435488
140	71398	434972
141	71899	434435
142	72418	434001
143	72931	433534
144	73462	433173
145	73976	432713
146	74486	432223
147	75026	431911
148	75515	431301
149	76048	430939
150	76557	430443
151	77106	430175
152	77622	429715
153	78163	429389
154	78726	429188
155	79279	428921
156	79837	428684
157	80362	428261
158	80911	427965
159	81441	427570
160	81985	427240
161	82495	426734
162	83010	426256
163	83558	425943
164	84070	425446
165	84670	425392
166	85280	425381
167	85887	425348
168	86473	425203
169	87033	424929
170	87562	424499
171	88100	424113
172	88684	423941
173	89208	423484
174	89739	423059
175	90292	422733
176	90819	422285
177	91366	421927
178	91920	421603
179	92466	421237
180	93006	420842
181	93606	420716
182	94161	420383
183	94690	419933
184	95229	419526
185	95749	419032
186	96280	418586
187	96860	418356
188	97404	417962
189	97921	417453
190	98453	417010
191	98986	416569
192	99520	416129
193	100027	415577
194	100565	415156
195	101088	414668
196	101631	414265
197	102167	413828
198	102702	413390
199	103244	412976
200	103823	412710
201	104365	412296
202	104907	411876
203	105459	411500
204	106011	411116
205	106522	410577
206	107138	410438
207	107693	410065
208	108217	409569
209	108772	409191
210	109315	408767
211	109858	408341
212	110389	407871
213	110891	407292
214	111448	406915
215	111993	406495
216	112526	406029
